GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
microservicio1,com.nuevo.proyecto.security,SecurityConfig,35,238,2,0,8,35,2,8,1,8
microservicio1,com.nuevo.proyecto.security,CustomAuthenticationEntryPoint,0,11,0,0,0,4,0,2,0,2
microservicio1,com.nuevo.proyecto,App,5,3,0,0,2,1,1,1,1,1
microservicio1,com.nuevo.proyecto.model,Compra,0,3,0,0,0,1,0,1,0,1
microservicio1,com.nuevo.proyecto.model,Login,0,3,0,0,0,1,0,1,0,1
microservicio1,com.nuevo.proyecto.model,Producto,0,3,0,0,0,1,0,1,0,1
microservicio1,com.nuevo.proyecto.model,UsuarioDTO,0,3,0,0,0,2,0,1,0,1
microservicio1,com.nuevo.proyecto.model,Usuario,0,3,0,0,0,1,0,1,0,1
microservicio1,com.nuevo.proyecto.service,CompraService,0,9,0,0,0,2,0,2,0,2
microservicio1,com.nuevo.proyecto.service,UsuarioService,0,64,0,0,0,16,0,8,0,8
microservicio1,com.nuevo.proyecto.service,ProductoService,0,23,0,0,0,6,0,5,0,5
microservicio1,com.nuevo.proyecto.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
microservicio1,com.nuevo.proyecto.exception,GlobalExceptionHandler,0,45,0,0,0,10,0,5,0,5
microservicio1,com.nuevo.proyecto.controller,LoginController,5,75,0,0,0,20,1,2,1,2
microservicio1,com.nuevo.proyecto.controller,UsuarioController,12,101,0,0,0,22,2,9,2,9
microservicio1,com.nuevo.proyecto.controller,ProductoController,18,77,0,0,0,19,3,6,3,6
microservicio1,com.nuevo.proyecto.controller,CompraController,0,14,0,0,0,3,0,2,0,2
